zgh_verbe	en_meaning
ⵏⵃⵏⵃ	neigh
ⵏⵃⵓⵛ	will hang
ⵏⵄⵍ	curse
ⵏⵄⵎ	reply
ⵏⵄⵏⵄ	be doing well
ⵏⵄⵏⵄ	be full of
ⵏⵄⵏⵄ	be green
ⵏⵄⵕ	defend
ⵏⵅⵅⵍ	ignore someone
ⵏⵅⵅⵍ	neglect
ⵏⵅⵅⵔ	eat voraciously (péj.)
ⵏⵅⵓⵅⵔ	move (object), not be well fixed
ⵏⵅⵔ	strive
ⵏⵅⵔⵎⵓ	grumble, growled
ⵏⵅⵙⴻⵙ	sobbing, having the hiccups
ⵏⵇⴱ	Picker, beak, give beak
ⵏⵇⴱ	drill
ⵏⵇⴷⴼ	suffocate, breathing out
ⵏⵇⴹ	to remove
ⵏⵇⵇⵔ	Knock on the door
ⵏⵇⵇⵔ	Power (day, sun)
ⵏⵇⵇⵔ	shake, dust
ⵏⵇⵊ	make fun, persifle
ⵏⵇⵊ	tell me
ⵏⵇⵎ	reprimand, sermon
ⵏⵇⵔ	wash a stain
ⵏⵇⵛ	engrave, chisele, sculpt
ⵏⵇⵛ	pick
ⵏⵉ	ascend
ⵏⵉⵏ	groan
ⵏⵊⵊⵎ	be able
ⵏⵊⵎ	free yourself, be saved, escape
ⵏⵎ	Be right
ⵏⵎⴰⵍⴰ	approach, approach
ⵏⵎⴰⵍⴰ	be ordered
ⵏⵎⴰⵏⵏⴰ	Contact the public, give a conference
ⵏⵏⴰⵍ	coincide
ⵏⵏⴰⵍ	neighbor, put yourself next to
ⵏⵏⴰⵍ	support, stall
ⵏⵏⴰⵖ	argue, fight
ⵏⵏⴳⵣⵓ	run
ⵏⵏⴳⵣⵓ	shorten (intr.)
ⵏⵏⴳⵣⵓ	be interrupted, do not come to term
ⵏⵏⴳⵯⴷⵎ	tip
ⵏⵏⴹ	turn around
ⵏⵏⴹⴼⵚ	bend
ⵏⵏⴹⵎⵥ	to take care of
ⵏⵏⴹⵎⵥ	whining
ⵏⵏⴼⵍ	Change (intransitive)
ⵏⵏⴼⵙⵓⵙⵉ	decompose, weaken
ⵏⵏⴼⵙⵔ	extend, lie down
ⵏⵏⴽⵛⴼ	humiliate, lower
ⵏⵏⵄⴰⵔⴰ	gang up, coalize
ⵏⵏⵄⵔⵇ	belong to, having as origin
ⵏⵏⵄⵔⵇ	leave, leave (péj.)
ⵏⵏⵅⵍⵄ	be afraid, being frightened
ⵏⵏⵅⵙⵉⵙ	sob
ⵏⵏⵇⵍⵄ	turn back
ⵏⵏⵉⵎ	get used to it, get used to
ⵏⵏⵉⵔⵉ	abort
ⵏⵏⵉⵔⵉ	to be sad
ⵏⵏⵉⵔⵙ	be flat (surface)
ⵏⵏⵉⵔⵙ	to be calm
ⵏⵏⵉⵔⵙ	to look good
ⵏⵏⵉⵣ	perish
ⵏⵏⵍⴱⵥ	be crushed
ⵏⵏⵎ	Be straight, stand up straight
ⵏⵏⵎⵍ	be turbulent
ⵏⵏⵎⵔ	be difficult, painful
ⵏⵏⵎⵔ	be embarrassed
ⵏⵏⵓⴹⵓ	bend
ⵏⵏⵓⴼⴳ	be pierced
ⵏⵏⵓⴼⴼⵉ	transfer
ⵏⵏⵓⴼⴼⵔ	hide, be hidden
ⵏⵏⵓⴼⵍⵉ	live in ease
ⵏⵏⵓⴼⵙⵍ	detach yourself, untie
ⵏⵏⵓⵄⵊⵓ	be distorted
ⵏⵏⵓⵄⵊⵓ	be twisted
ⵏⵏⵓⵇⴱ	be pierced, be pierced, be perforated
ⵏⵏⵓⵍ	fear, worry about
ⵏⵏⵓⵎ	get used to it, get used to
ⵏⵏⵓⵎⵎⵙ	be in the middle
ⵏⵏⵓⵎⵖⵔ	be big
ⵏⵏⵓⵔⵉ	abort
ⵏⵏⵓⵔⵉ	to be sad
ⵏⵏⵓⵔⵣ	to be in need
ⵏⵏⵓⵔⵣ	wish, hope
ⵏⵏⵓⵕⵥⵎ	Disseck, let go
ⵏⵏⵓⵕⵥⵎ	Open, be open
ⵏⵏⵓⵖ	to be stuck
ⵏⵏⵓⵛⵛⴳ	to move
ⵏⵏⵓⵣⵡⵓ	be dispersed
ⵏⵏⵓⵥⴻⵥ	discern
ⵏⵏⵖ	Decorate, getting on
ⵏⵏⵖⴹⵎ	die young
ⵏⵏⵖⵎⵙ	learn, be informed
ⵏⵏⵖⵔⴼ	drop
ⵏⵏⵖⵣⵉⵣⴼ	stretch
ⵏⵏⵖⵣⵍ	to like
ⵏⵏⵖⵣⵎ	excavate, dislocate (articulation)
ⵏⵏⵙⵔⴼ	make ugly, ugly
ⵏⵏⵙⵔⵓⵔⴼ	slide, sneak
ⵏⵏⵙⵜⵎ	sag, collapse
ⵏⵏⵛⴽⵍ	be tangled
ⵏⵏⵛⵔⵇ	burst, die
ⵏⵏⵛⵕⵃ	smiling, smiling
ⵏⵏⵣⴳⵓ	be able to, authorized to
ⵏⵏⵣⴷⵎ	break, break
ⵏⵏⵣⵉ	cross, be crossed
ⵏⵏⵣⵍⴼ	wolf in the blood
ⵏⵏⵣⵔⴼ	Heat, be hot
ⵏⵏⵣⵔⵉ	to contradict oneself
ⵏⵏⵣⵡⴰ	disperse
ⵏⵏⵥⵕⵉⵕⴹ	bleat
ⵏⵓⴱⴳⵜ	be someone's host
ⵏⵓⴷⴰ	dispel
ⵏⵓⴷⴰ	wander, wander
ⵏⵓⴷⴷⵎ	Sommeiller
ⵏⵓⴷⴷⵎ	sink
ⵏⵓⴼⵍ	to be crazy, to lose the reason
ⵏⵓⵍⴼⵓ	occur
ⵏⵓⵏⴼ	suffer from an old injury
ⵏⵓⵏⵛ	to be busy
ⵏⵓⵖⵎⵔ	hide in a corner
ⵏⵓⵖⵏⵓ	be lowered
ⵏⵓⵖⵣⵎ	Slter (articulation)
ⵏⵓⵙⵓ	be arid, uneducated (earth)
ⵏⵓⵢⴰ	be in good faith, right, honest
ⵏⵔ	guide
ⵏⵔⵓ	overcome, triumph over, win on, beat
ⵏⵖ	kill
ⵏⵖⴷ	crush, reduce powder, grind, spray
ⵏⵖⴷ	refine
ⵏⵖⴷⵓⴷⵉ	be caught, be exhausted
ⵏⵖⵍ	spread, spread, be paid
ⵏⵖⵏⵖ	talk about the nose, nasiller
ⵏⵖⵓⴱⵓ	vanish
ⵏⵖⵓⴼ	irritate, afflict
ⵏⵖⵓⵍⴼ	be passed out
ⵏⵙ	spend the night
ⵏⵙⴼ	praise
ⵏⵙⵉ	get used to
ⵏⵙⵔ	Detach, stir up, get stuck
ⵏⵙⵔ	blow
ⵏⵙⵙⴻⵙ	be wet
ⵏⵙⵙⴻⵙ	ooze
ⵏⵙⵙⵍ	Be fat (animal), chubby
ⵏⵚⴹ	be expelled, spring
ⵏⵚⵍ	To vomit
ⵏⵚⵓ	bait
ⵏⵛⴱ	bind
ⵏⵛⴼ	be peeled, stripped (from your skin, your wool)
ⵏⵛⴼ	lose one's hair
ⵏⵛⴼ	to be bald
ⵏⵛⵍ	pull
ⵏⵛⵍ	to draw water)
ⵏⵛⵏⵛ	snoop, listen to the doors
ⵏⵛⵏⵛ	drizzle
ⵏⵛⵓ	Spread, be unplugged
ⵏⵛⵓⵛⴹ	to swarm to swarm, to be full of, to abound in
ⵏⵛⵛⴱ	Put in balls, bay, roll up
ⵏⵛⵛⴱ	sneak out
ⵏⵛⵛⴷ	to sing
ⵏⵜ	be started
ⵏⵜⴰⴱ	Start, start
ⵏⵜⴰⵢ	concern, interest
ⵏⵜⵉ	bury
ⵏⵜⵍ	hide, hide, shelter, be hidden
ⵏⵜⵓ	cover
ⵏⵜⵓ	to push
ⵏⵜⵓ	be authentic
ⵏⵜⵓⵜⵔ	be irritated (skin)
ⵏⵜⵓⵜⵔ	have a deep burn
ⵏⵜⵔ	bite (dog)
ⵏⵜⵔ	pull to oneself
ⵏⵜⵔ	strengthen
ⵏⵜⵔ	bury
ⵏⵜⵜⴳ	skip
ⵏⵟⵎⵚ	Turn out (light, fire)
ⵏⵟⵎⵚ	break down
ⵏⵟⵕ	pull out
ⵏⵟⵟⵄ	jump, leap
ⵏⵟⵟⵄ	shine, sparkle
ⵏⵡⵉⵡⵍ	sway
ⵏⵡⵓ	be used (clothing)
ⵏⵡⵓ	ripe
ⵏⵡⵡⵛ	slander
ⵏⵢⴰⵎⴰ	move, move
ⵏⵢⵏⵉ	resonate
ⵏⵢⵓⴷⴷⵓ	to go for a walk
ⵏⵢⵓⴷⴷⵓ	walk, walk painfully
ⵏⵢⵓⵎⵓ	shrink
ⵏⵢⵢⵛ	target, target (a target)
ⵏⵣ	to be sold
ⵏⵣⴰⵣ	Heat, warm up
ⵏⵣⴼ	to be exhausted
ⵏⵣⴼ	vanish
ⵏⵣⵉⵣ	groan
ⵏⵣⵉⵣ	hum
ⵏⵣⵍ	encourage
ⵏⵣⵍ	prick (a frame), stack
ⵏⵣⵍ	stimulate
ⵏⵣⵓ	be early
ⵏⵣⵓ	early on
ⵏⵣⵖ	draw, attract
ⵏⵣⵖ	extract
ⵏⵣⵖ	to tear out
ⵏⵥ	pure
ⵏⵥ	to be tough
ⵏⵥⴻⵥ	smart, smart
ⵏⵥⵉ	moan, howl
ⵏⵥⵍ	to jerze, to be chapped
ⵏⵥⵓ	convince (neo.)
ⵏⵥⵓ	observe
ⵏⵥⵕ	say, put a riddle
ⵓⴱⵍⴻⵍ	Galloping (horse)
ⵓⴱⵓⴹ	be spoiled
ⵓⴳⵓ	be unloaded
ⵓⴳⵓⵔ	go, go
ⵓⴳⵓⵔ	walk, walk
ⵓⴷⴰ	suffice
ⵓⴷⴷⵏ	prayer
ⵓⴷⴷⵓⵎ	Draw, fall drop
ⵓⴷⴷⵔ	to keep waiting
ⵓⴷⵊⵓ	pull the grain from the silo
ⵓⴹⴰ	to fall
ⵓⴹⴹⵕ	be lost
ⵓⴹⴹⵕ	lose
ⵓⴼⴼ	be swollen, swollen
ⵓⴼⴼ	soaked, soaked
ⵓⴽⴽⵔ	insult
ⵓⴽⵙ	offer a gift
ⵓⵃⵍ	to be tired
ⵓⵄⵕ	be difficult
ⵓⵅⵅⵔ	back up, getting back
ⵓⵇⵇⵃ	warm up
ⵓⵊⴷ	be ready
ⵓⵍⴱⵓ	be warm
ⵓⵍⵓ	be the same
ⵓⵍⵙⵓ	take a nap
ⵓⵍⵡⵓ	be loosened, loosen, lack vigor
ⵓⵎⴰⵏ	appear, appear
ⵓⵎⴰⵢ	praise (God)
ⵓⵎⵎⵍ	consider, count, have the intention
ⵓⵎⵏ	to be raised
ⵓⵏⵃⵓⵛ	drag
ⵓⵏⵊⵓⵖ	crawl (baby)
ⵓⵏⵊⵓⵖ	move
ⵓⵏⵣⵓ	free up
ⵓⵔⴰⵔ	be entertained
ⵓⵔⴰⵔ	to play
ⵓⵔⴳⵓ	lose altitude
ⵓⵔⴷⵓ	assume
ⵓⵔⴷⵓ	doubt
ⵓⵔⵏⴰⵏ	be of great sensitivity
ⵓⵔⵔⵉ	go back, come back
ⵓⵔⵔⵉ	to move back
ⵓⵖⵍⵓⵍ	swing, swing
ⵓⵙⴰⴼ	isolate oneself
ⵓⵙⵓ	to cough
ⵓⵙⵓⵙ	Fall, be shaken, Gaulé (tree)
ⵓⵙⵓⵙ	to lose weight
ⵓⵙⵓⵢ	sweat
ⵓⵙⵜⵓⵢ	scroll
ⵓⵙⵡⵉ	push, throw, throw
ⵓⵛ	give
ⵓⵛⵓⵛ	provoke, encourage
ⵓⵜ	beat, hit
ⵓⵜⵛ	Baraque (animal)
ⵓⵜⵛ	sag
ⵓⵜⵛ	squat
ⵓⵣⵏ	weigh
ⵓⵣⵓⵣ	throw yourself, rush on
ⵓⵣⵣ	to help
ⵔⴰⴼ	be thirsty, be altered
ⵔⴰⵊⴰ	expect
ⵔⴰⵔ	To vomit
ⵔⴰⵔ	make, put back, restore
ⵔⴰⵢⴰ	flatter
ⵔⴱⴱⴳ	Take care by traditional means
ⵔⴱⴱⵊ	be in a state of confusion
ⵔⴱⴱⵍ	To grope
ⵔⴱⵉⴱⵉ	swel
ⵔⴱⵍ	scratch
ⵔⴱⵍ	work hard
ⵔⴱⵓ	endorse, wear on the back
ⵔⴳ	Break (dried fruits)
ⵔⴳⴳⵉⴳ	be in balance, be calm (sea)
ⵔⴳⴳⵎ	gather
ⵔⴳⵄ	strike violently
ⵔⴳⵉⴳⵉ	tremble, shive, shiver
ⵔⴳⵍ	Close (key), lock
ⵔⴳⵎ	insult, curse, urge the curses
ⵔⴳⵯⵙ	hide, hide
ⵔⴷⴷⴼ	to beat
ⵔⴷⴼ	row
ⵔⴷⵃ	Dancing by tapping your foot, entering a trance
ⵔⴷⵅ	throw away
ⵔⴷⵍ	bury
ⵔⴷⵍ	fall, drop, collapse, collapse, demolish
ⵔⴷⵍ	pile up
ⵔⴷⵎ	Fill (well), collapse, demolish
ⵔⴷⵓ	Thread, produce pulsations (heart, artery, abscess)
ⵔⴷⵔ	destroy
ⵔⴷⵔ	disorder
ⵔⴼⴼⴽ	to chase
ⵔⴼⵓ	be angry, irritate
ⵔⴼⵓⴼⵏ	be in a pitiful state
ⵔⴼⵙ	Mix (pieces of bread or cake with a broth)
ⵔⴽⴽⴰ	Beat (intr.)
ⵔⴽⴽⴻⴽ	Baragouiner, speak indiscriminately
ⵔⴽⴽⴻⴽ	hesitate
ⵔⴽⴽⵯⵛ	Brass, wave, offend
ⵔⴽⵍ	to give a kick
ⵔⴽⵎ	boil, bubble, be boiled
ⵔⴽⵓ	to be dirty
ⵔⴽⵙ	be mixed, mixed
ⵔⴽⵣ	sink
ⵔⴽⵣ	to dance
ⵔⵀⵛ	Shush, vibrate with emotion
ⵔⵄⵔⵄ	have a hoarse voice, speak very hard
ⵔⵅⵓ	be easy
ⵔⵅⵙ	be cheap
ⵔⵇⵇⵄ	mending, rapiécecer
ⵔⵇⵇⵙ	skip
ⵔⵇⵎ	Color, draw
ⵔⵉⵜⵍ	plunder, ransack
ⵔⵉⵢⵣ	worldly
ⵔⵊⴰ	dream
ⵔⵊⴼ	be fooled
ⵔⵊⵍ	brain
ⵔⵎⴷ	attack, destroy
ⵔⵎⴷ	gnaw
ⵔⵎⵓⵎⵎⵙ	be dressed up
ⵔⵎⵓⵎⵛ	be brewed, turned, stirred
ⵔⵎⵓⵎⵛ	be crumpled
ⵔⵎⵔⵎ	Murgir, mumble
ⵔⵎⵙ	to understand
ⵔⵎⵛ	scratch, scratch
ⵔⵎⵣ	repel
ⵔⵏⵓ	to add
ⵔⵓ	cry
ⵔⵓ	lament, complain
ⵔⵓⴱⴰ	be a compassionate, tender
ⵔⵓⴱⴰ	be too cooked, blet
ⵔⵓⴼⵓ	to be thirsty
ⵔⵓⵊⴷⴻⴷ	To be impatient
ⵔⵓⵔ	to run away
ⵔⵔⵉⵣ	resign to servility
ⵔⵔⵓⵎⵎⵓ	be demolished, shaved (building, wall)
ⵔⵔⵓⵜ	Be depociated, beaten (grain)
ⵔⵔⵛⵜⵎ	collapse
ⵔⵖ	be hot, heat, be lit
ⵔⵙ	be posed, ask
ⵔⵙⵍ	coagulate, freeze
ⵔⵛⴰ	be rotten
ⵔⵛⴰ	be worked, worn out
ⵔⵛⴰ	to be dirty
ⵔⵛⵇ	have fun, have fun, be happy
ⵔⵛⵇ	crack
ⵔⵛⵍ	to marry
ⵔⵛⵛⵄ	jump, leap
ⵔⵜⵎ	to press in
ⵔⵜⵓ	to wish
ⵔⵡⵉ	Mix, be mixed, mix
ⵔⵡⵍ	flee, run away, save yourself, escape
ⵔⵡⵍ	to run
ⵔⵡⵙ	look like
ⵔⵡⵙ	to deflate
ⵔⵡⵙ	graze, make graze
ⵔⵡⵜ	Be depociated, beaten (grain)
ⵔⵣⴼ	offer a gift
ⵔⵣⴼ	to visit
ⵔⵣⵎ	be impotent
ⵔⵣⵓ	search, search, search
ⵕⴰⵃ	go, go away, leave
ⵕⴰⵄⴰ	look for
ⵕⴰⵄⴰ	to look to see
ⵕⴰⵥⴰ	plow
ⵕⴱⴱⴰ	Correct (punish)
ⵕⴱⴱⴰ	educate
ⵕⴱⵥ	to crush
ⵕⴹⵍ	to lend to borrow
ⵕⴹⵎ	scare
ⵕⵃⵎ	mercy
ⵕⵎⵉ	be tired, get tired
ⵕⵓⵃ	go away
ⵕⵓⵃ	go home
ⵕⵓⵃ	spend the night with
ⵕⵓⵛ	spray, splash
ⵕⵓⵥⵎⵓ	be unproductive
ⵕⵚⴹ	stink
ⵕⵚⵚⴰ	Stay quiet, don't move
ⵕⵚⵚⴰ	to be calm
ⵕⵛⵎ	to mark
ⵕⵡⵓ	be good, be beneficial
ⵕⵡⵓ	to be efficient
ⵕⵥ	break, break, break, break
ⵕⵥ	to break up
ⵕⵥⴳ	be bitter
ⵕⵥⵉ	let go
ⵕⵥⵉ	punch
ⵕⵥⵉ	surface
ⵕⵥⵎ	Open, be open
ⵕⵥⵎ	divorce
ⵕⵥⵎ	inaugurate
ⵕⵥⵎ	release
ⵖⴰⴼⵙ	to betray
ⵖⴰⵊ	to relocate
ⵖⴰⵍ	believe, suppose, think
ⵖⴰⵍⵍⴰ	take in his arms
ⵖⴰⵎⴰ	stay, stay
ⵖⴰⵏⴻⵏ	to persist, persist, contradict
ⵖⴰⵔ	to run
ⵖⴰⵖⴰ	Stroll, wander, wander
ⵖⴰⵙ	surprise
ⵖⴰⵛⴰ	vanish
ⵖⴰⵡⵍ	hurry, rush, hasten
ⵖⴰⵡⵖ	Rebell
ⵖⴱⴱⴰ	feast on
ⵖⴱⴱⴰ	to eat plenty
ⵖⴱⴱⵉ	to bite
ⵖⴱⴱⵊ	grab
ⵖⴱⴱⵕ	dusty
ⵖⴱⴱⵣ	Immerse, immerse, be immersed, be immersed
ⵖⴱⴱⵣ	be withdrawn, hidden, sneaky
ⵖⴱⵏ	be painful
ⵖⴱⵏ	deprive
ⵖⴱⵏ	frustrate
ⵖⴱⵓ	be deep
ⵖⴱⵔ	get lost, sink underground
ⵖⴱⵔ	to give a kick
ⵖⴱⵜ	be put
ⵖⴱⵣ	bend down
ⵖⴷⴷⴻⴷ	be enraged
ⵖⴷⴷⴻⴷ	irritate
ⵖⴷⵔ	to betray
ⵖⴹⴼ	watch, observe, spy on the look
ⵖⴹⵍ	backtrack
ⵖⴹⵍ	occupy a place and defend it fiercely
ⵖⵉ	hold, grab, catch
ⵖⵉⵍⴼ	saddened, grieving, getting angry
ⵖⵉⵔ	to run
ⵖⵉⵣ	worldly, clean the grain
ⵖⵊⴷⵎ	sit down, sit down
ⵖⵊⵔ	have breakfast
ⵖⵍⴼ	be nauseated
ⵖⵍⴼ	neglect
ⵖⵍⴼ	soggy, give nausea
ⵖⵍⵉ	be swallowed
ⵖⵍⵉ	climb, climb
ⵖⵍⵉ	go to bed (sun)
ⵖⵍⵉ	to find
ⵖⵍⵉⵍⵍⵜ	to be nauseous
ⵖⵍⵉⵖⵍ	echo
ⵖⵍⵍⴰ	drag on, perpetuate, last
ⵖⵍⵍⵉⵍ	to exploit
ⵖⵍⵓ	embark
ⵖⵍⵓ	raid
ⵖⵍⵓ	be expensive, cost dear
ⵖⵍⵓⵖⵍ	Fly with tears (eyes)
ⵖⵍⵖⵍ	echo
ⵖⵎ	Color, paint, dye, coat
ⵖⵎ	be coated, be painted
ⵖⵎⵉ	germinate, push
ⵖⵎⵍ	moldy
ⵖⵎⵎ	moldy
ⵖⵎⵎⵔ	to be sad
ⵖⵎⵎⵙ	soak bread in the sauce
ⵖⵎⵎⵛ	to climb
ⵖⵎⵓ	dirty
ⵖⵎⵓ	dye, be complexion
ⵖⵎⵙ	cover, cover
ⵖⵎⵙ	to hide
ⵖⵎⵣ	winking
ⵖⵏⴰ	tackle, move, pity
ⵖⵏⴱⵔ	to cover
ⵖⵏⴷⴼ	bewild
ⵖⵏⴼ	to spill
ⵖⵏⵏⵊ	to sing
ⵖⵏⵖⵏ	talk about the nose, nasiller
ⵖⵏⵙ	pin, staple
ⵖⵓⴱ	be deep
ⵖⵓⴷ	go through
ⵖⵓⴷⴰ	Suffer a long time, have a chronic disease
ⵖⵓⴷⵓ	Be beautiful, good, pleasant
ⵖⵓⴼⴼⵏ	be smeared, dirty, soiled
ⵖⵓⴼⵍ	Having long and poorly combed hair
ⵖⵓⴼⵓ	Small, lack air
ⵖⵓⵊⴷⵎ	sit
ⵖⵓⵎⵎ	moldy
ⵖⵓⵎⵎ	assapple
ⵖⵓⵏⴼ	be repugnant, disgusting
ⵖⵓⵔⴼ	to be bored
ⵖⵓⵙ	be clean, pure
ⵖⵓⵙ	be burned, burn
ⵖⵓⵙⵙⵓ	be lizarded
ⵖⵓⵢ	to call
ⵖⵔ	Read, study
ⵖⵔ	invite
ⵖⵔ	to call
ⵖⵔⴱⵊ	scratch, lacerate
ⵖⵔⴱⵣ	run, gallop
ⵖⵔⴷ	Extend, unfold, lengthen
ⵖⵔⴼ	make the dough
ⵖⵔⴼ	leather
ⵖⵔⴼ	sew a sole
ⵖⵔⵉ	make a miscarriage, abort
ⵖⵔⵎ	compensate
ⵖⵔⵓ	put a coverage on the saddle
ⵖⵔⵓⵔⵎ	sway
ⵖⵔⵓⵖⵔ	Fly with tears (eyes)
ⵖⵔⵔ	lure, deceive
ⵖⵔⵔⴷ	Continue, extend, extend
ⵖⵔⵔⴷ	be in a straight line without detour
ⵖⵔⵔⵓ	lure, deceive
ⵖⵔⵖⵔ	Fly with tears (eyes)
ⵖⵔⵖⵔ	have borborygmes
ⵖⵔⵙ	"Employed with the preposition ""ⵉ"": slaughter"
ⵖⵔⵙ	be torn, be cut
ⵖⵔⵙ	tear off
ⵖⵔⵜ	to be qualified
ⵖⵕⴹ	Extend, extend (legs, arms), be lying on the ground
ⵖⵖⵓⵎⵎⴰ	be asphyxiated
ⵖⵖⵓⵏⵣⵔ	to pout
ⵖⵖⵓⵔⵎⵓ	be civilized
ⵖⵙ	sort the grain
ⵖⵙ	to clean
ⵖⵙⵉ	be out
ⵖⵙⵙⵍ	get revenge
ⵖⵛⵎ	DUPER, to deceive
ⵖⵛⵛⵓ	fraud, cheat
ⵖⵜⵔ	sink
ⵖⵜⵙ	decide
ⵖⵡⴰ	rot (food)
ⵖⵡⴷ	to cross
ⵖⵡⵉ	pushed
ⵖⵡⵓ	Enter, bait
ⵖⵡⵓ	seduce, try
ⵖⵡⵙ	to sort
ⵖⵡⵡⴷ	Cut, cut strips
ⵖⵡⵡⵊ	hum
ⵖⵡⵡⵖ	Rebel, lift, mutilate
ⵖⵡⵡⵣ	hold, torture
ⵖⵡⵡⵣ	starve
ⵖⵢⴷ	get angry, get upset
ⵖⵢⵉⵢⵙ	Japper, shout, moan (dog)
ⵖⵢⵓⵢⵢⵙ	Piailler, con so
ⵖⵢⵓⵢⵢⵙ	shiver
ⵖⵢⵓⵢⵢⵙ	to hide
ⵖⵢⵢⵍ	be stupid
ⵖⵢⵢⵔ	be upset, have sorrow
ⵖⵢⵢⵔ	to paint, grief
ⵖⵢⵢⵣ	refine the threshing
ⵖⵢⵢⵣ	to beat
ⵖⵢⵢⵣ	worldly
ⵖⵣ	Dig, draw, dig up
ⵖⵣⴷ	to rot
ⵖⵣⵓ	mortify, afflict
ⵖⵣⵔ	be eroded (land under the effect of water)
ⵖⵣⵣⴰ	waste the property of others
ⵖⵣⵣⴼ	be big
ⵖⵣⵣⴼ	stretch
ⵖⵣⵣⵓ	rejoice at the misfortune of others
ⵖⵥ	be challenged (testimony)
ⵖⵥⴱⵕ	be dry
ⵖⵥⵍ	be extended
ⵖⵥⵍ	extend
ⵖⵥⵥ	chew, crunch, gnaw
ⵖⵥⵥ	sink against someone
ⵖⵥⵥ	to bite
ⵙⴰⴳⴳⵎ	wait
ⵙⴰⴷⵎⵔ	answer (call)
ⵙⴰⴽⴰ	to be exhausted
ⵙⴰⴽⴼⵙ	sprinkle, sprinkle
ⵙⴰⵄⴼ	Spare, be patient
ⵙⴰⵅ	vanish, lose consciousness
ⵙⴰⵇⵇⵍ	look see
ⵙⴰⵇⵇⵓⵔ	Shout, pester, invectivate
ⵙⴰⵍⴰ	To indulge in, to be busy
ⵙⴰⵍⴰ	finish
ⵙⴰⵎⴰ	put yourself next to, approach
ⵙⴰⵎⵃ	to forgive
ⵙⴰⵔⴷⵎ	answer (call)
ⵙⴰⵙⵜⵡⴰ	arrange, adjust, put in order
ⵙⴰⵙⵜⵡⴰ	to fix
ⵙⴰⵙⵡⴰ	be similar, be identical
ⵙⴰⵜⵜⵓⵢ	raise, put high
ⵙⴰⵡⵍ	talk
ⵙⴰⵡⵙⴰ	Fight, fight (duel)
ⵙⴰⵢⴱ	be cleared, have light manners
ⵙⴰⵢⵢⴰ	amaze
ⵙⴰⵣⵣⵍ	make run
ⵙⴱⴰⵇⵇⵉ	burst (tr.), crack
ⵙⴱⴰⵇⵇⵉ	deflower
ⵙⴱⴰⵔⵅ	to allow
ⵙⴱⴰⵔⵡ	to broaden
ⵙⴱⴰⵢ	Put yourself over the fire to warm up, dry your clothes or smoke
ⵙⴱⴱⵃ	burn the rosary
ⵙⴱⴱⵉⴱ	deliver
ⵙⴱⴱⵓⵏⵏⵣ	pinch
ⵙⴱⴷⴷ	put up, stop
ⵙⴱⵀⵍⴻⵍ	go crazy, make you lose reason
ⵙⴱⵉⴹⵕ	limp
ⵙⴱⵉⵄⵄⵉ	bleat
ⵙⴱⵉⵏⵣ	pinch
ⵙⴱⵉⵔⴽ	abundant
ⵙⴱⵉⵔⵇ	slap
ⵙⴱⵍⵉⵟⵟⵉⵡ	whine
ⵙⴱⵍⵓⵍⵍⵙ	fertilize
ⵙⴱⵏⴷ	abandon
ⵙⴱⵓⴱⴱⴰ	Put a load on the back of a person or an animal
ⵙⴱⵓⴱⴱⵉ	form (breast)
ⵙⴱⵓⴷⴷⵍ	stampede
ⵙⴱⵓⴽⴹ	make blind, blind
ⵙⴱⵓⵄⵔⵜ	yell
ⵙⴱⵓⵅⵔⴻⵔ	moan (dying)
ⵙⴱⵓⵅⵔⵓⵔ	snore
ⵙⴱⵓⵇⵇⵛ	pinch
ⵙⴱⵓⵔⴷⵓ	build
ⵙⴱⵓⵔⵔⵓ	cover
ⵙⴱⵓⵖⵍⵓ	enrich, develop
ⵙⴱⵓⵢⵢⵄ	beat, hit
ⵙⴱⵔⴳⵏ	Hide your face (scarf, sail)
ⵙⴱⵔⴽⵏ	make black, blacken
ⵙⴱⵔⵔⴽ	welcome
ⵙⴱⵔⵡⵉ	disturb the water
ⵙⴱⵕⴱⵕ	to boil
ⵙⴱⵕⵕⵎ	divert (path)
ⵙⴱⵕⵕⵎ	to walk
ⵙⴱⵖⵔ	to profit from
ⵙⴱⵜ	to shut up
ⵙⴱⵣⵣⵄ	throw away
ⵙⴳⴰⴷⵊ	Distant, move (tr.)
ⵙⴳⴰⵡⵔ	sit down
ⵙⴳⴳⴷ	Dress, straighten, put the right to adjust
ⵙⴳⴳⴷ	guide
ⵙⴳⴳⵔⵏⵓⵏⵙ	inspire pity
ⵙⴳⴳⵔⵓ	leave at the end, last
ⵙⴳⴹ	drinking
ⵙⴳⴹ	go down the wrong way
ⵙⴳⵉⵊⵊⵉ	buzz, ring, curl
ⵙⴳⵉⵔ	Leave last, put at the end of
ⵙⴳⵉⵔⴼ	Cry someone aloud
ⵙⴳⵊⴹⴻⴹ	Animal cut the tail
ⵙⴳⵍ	backfill (ditch)
ⵙⴳⵍⴳⴹ	tickle
ⵙⴳⵍⵓⵟⵟⵉ	swallow up, devour
ⵙⴳⵍⵣⵎ	ax
ⵙⴳⵎ	expect
ⵙⴳⵏ	sleeping, sleeping
ⵙⴳⵏⴳⵔ	brutally enter two bodies into contact
ⵙⴳⵏⴼⴰ	Heal (tr.)
